name,search_query,quartz_url,CPID,potential products,potential manufacturers,potential manufacturers google
Type X Drywall,Type X Drywall,http://quartzproject.org/p/CP108,CP108,https://www.specifiedby.com/search?q=Type X Drywall,https://www.specifiedby.com/search?q=Type X Drywall&type=companies&a=0,https://www.google.co.uk/search?q=Type X Drywall companies&type=companies&a=0
Type X Drywall,Fire resistant gypsum board,http://quartzproject.org/p/CP108,CP108,https://www.specifiedby.com/search?q=Fire resistant gypsum board,https://www.specifiedby.com/search?q=Fire resistant gypsum board&type=companies&a=0,https://www.google.co.uk/search?q=Fire resistant gypsum board companies&type=companies&a=0
Type X Drywall,Fire resistant wallboard,http://quartzproject.org/p/CP108,CP108,https://www.specifiedby.com/search?q=Fire resistant wallboard,https://www.specifiedby.com/search?q=Fire resistant wallboard&type=companies&a=0,https://www.google.co.uk/search?q=Fire resistant wallboard companies&type=companies&a=0
Type X Drywall,Fire resistant drywall,http://quartzproject.org/p/CP108,CP108,https://www.specifiedby.com/search?q=Fire resistant drywall,https://www.specifiedby.com/search?q=Fire resistant drywall&type=companies&a=0,https://www.google.co.uk/search?q=Fire resistant drywall companies&type=companies&a=0
Drywall (Mixed Gypsum),Drywall (Mixed Gypsum),http://quartzproject.org/p/CP109,CP109,https://www.specifiedby.com/search?q=Drywall (Mixed Gypsum),https://www.specifiedby.com/search?q=Drywall (Mixed Gypsum)&type=companies&a=0,https://www.google.co.uk/search?q=Drywall (Mixed Gypsum) companies&type=companies&a=0
Drywall (Mixed Gypsum),Gypsum board,http://quartzproject.org/p/CP109,CP109,https://www.specifiedby.com/search?q=Gypsum board,https://www.specifiedby.com/search?q=Gypsum board&type=companies&a=0,https://www.google.co.uk/search?q=Gypsum board companies&type=companies&a=0
Drywall (Mixed Gypsum),Plasterboard,http://quartzproject.org/p/CP109,CP109,https://www.specifiedby.com/search?q=Plasterboard,https://www.specifiedby.com/search?q=Plasterboard&type=companies&a=0,https://www.google.co.uk/search?q=Plasterboard companies&type=companies&a=0
Drywall (Mixed Gypsum),Wallboard,http://quartzproject.org/p/CP109,CP109,https://www.specifiedby.com/search?q=Wallboard,https://www.specifiedby.com/search?q=Wallboard&type=companies&a=0,https://www.google.co.uk/search?q=Wallboard companies&type=companies&a=0
Drywall (Mixed Gypsum),Gypsum wallboard,http://quartzproject.org/p/CP109,CP109,https://www.specifiedby.com/search?q=Gypsum wallboard,https://www.specifiedby.com/search?q=Gypsum wallboard&type=companies&a=0,https://www.google.co.uk/search?q=Gypsum wallboard companies&type=companies&a=0
Drywall (FGD),Drywall (FGD),http://quartzproject.org/p/CP110,CP110,https://www.specifiedby.com/search?q=Drywall (FGD),https://www.specifiedby.com/search?q=Drywall (FGD)&type=companies&a=0,https://www.google.co.uk/search?q=Drywall (FGD) companies&type=companies&a=0
Drywall (FGD),Gypsum board,http://quartzproject.org/p/CP110,CP110,https://www.specifiedby.com/search?q=Gypsum board,https://www.specifiedby.com/search?q=Gypsum board&type=companies&a=0,https://www.google.co.uk/search?q=Gypsum board companies&type=companies&a=0
Drywall (FGD),Plasterboard,http://quartzproject.org/p/CP110,CP110,https://www.specifiedby.com/search?q=Plasterboard,https://www.specifiedby.com/search?q=Plasterboard&type=companies&a=0,https://www.google.co.uk/search?q=Plasterboard companies&type=companies&a=0
Drywall (FGD),Wallboard,http://quartzproject.org/p/CP110,CP110,https://www.specifiedby.com/search?q=Wallboard,https://www.specifiedby.com/search?q=Wallboard&type=companies&a=0,https://www.google.co.uk/search?q=Wallboard companies&type=companies&a=0
Drywall (FGD),Gypsum wallboard,http://quartzproject.org/p/CP110,CP110,https://www.specifiedby.com/search?q=Gypsum wallboard,https://www.specifiedby.com/search?q=Gypsum wallboard&type=companies&a=0,https://www.google.co.uk/search?q=Gypsum wallboard companies&type=companies&a=0
Welded Wire Mesh Concrete Reinforcement,Welded Wire Mesh Concrete Reinforcement,http://quartzproject.org/p/CP111,CP111,https://www.specifiedby.com/search?q=Welded Wire Mesh Concrete Reinforcement,https://www.specifiedby.com/search?q=Welded Wire Mesh Concrete Reinforcement&type=companies&a=0,https://www.google.co.uk/search?q=Welded Wire Mesh Concrete Reinforcement companies&type=companies&a=0
Welded Wire Mesh Concrete Reinforcement,Welded Wire Reinforcement,http://quartzproject.org/p/CP111,CP111,https://www.specifiedby.com/search?q=Welded Wire Reinforcement,https://www.specifiedby.com/search?q=Welded Wire Reinforcement&type=companies&a=0,https://www.google.co.uk/search?q=Welded Wire Reinforcement companies&type=companies&a=0
Welded Wire Mesh Concrete Reinforcement,Welded Wire Fabric,http://quartzproject.org/p/CP111,CP111,https://www.specifiedby.com/search?q=Welded Wire Fabric,https://www.specifiedby.com/search?q=Welded Wire Fabric&type=companies&a=0,https://www.google.co.uk/search?q=Welded Wire Fabric companies&type=companies&a=0
Welded Wire Mesh Concrete Reinforcement,WWR,http://quartzproject.org/p/CP111,CP111,https://www.specifiedby.com/search?q=WWR,https://www.specifiedby.com/search?q=WWR&type=companies&a=0,https://www.google.co.uk/search?q=WWR companies&type=companies&a=0
Welded Wire Mesh Concrete Reinforcement,WWF,http://quartzproject.org/p/CP111,CP111,https://www.specifiedby.com/search?q=WWF,https://www.specifiedby.com/search?q=WWF&type=companies&a=0,https://www.google.co.uk/search?q=WWF companies&type=companies&a=0
Foundation waterproofing sheet membrane,Foundation waterproofing sheet membrane,http://quartzproject.org/p/CP112,CP112,https://www.specifiedby.com/search?q=Foundation waterproofing sheet membrane,https://www.specifiedby.com/search?q=Foundation waterproofing sheet membrane&type=companies&a=0,https://www.google.co.uk/search?q=Foundation waterproofing sheet membrane companies&type=companies&a=0
Foundation waterproofing sheet membrane,Sheet membrane waterproofing,http://quartzproject.org/p/CP112,CP112,https://www.specifiedby.com/search?q=Sheet membrane waterproofing,https://www.specifiedby.com/search?q=Sheet membrane waterproofing&type=companies&a=0,https://www.google.co.uk/search?q=Sheet membrane waterproofing companies&type=companies&a=0
Foundation waterproofing sheet membrane,Sheet waterproofing membrane,http://quartzproject.org/p/CP112,CP112,https://www.specifiedby.com/search?q=Sheet waterproofing membrane,https://www.specifiedby.com/search?q=Sheet waterproofing membrane&type=companies&a=0,https://www.google.co.uk/search?q=Sheet waterproofing membrane companies&type=companies&a=0
Foundation waterproofing sheet membrane,Waterproofing membrane,http://quartzproject.org/p/CP112,CP112,https://www.specifiedby.com/search?q=Waterproofing membrane,https://www.specifiedby.com/search?q=Waterproofing membrane&type=companies&a=0,https://www.google.co.uk/search?q=Waterproofing membrane companies&type=companies&a=0
Foundation waterproofing sheet membrane,Self-adhesive waterproofing membrane,http://quartzproject.org/p/CP112,CP112,https://www.specifiedby.com/search?q=Self-adhesive waterproofing membrane,https://www.specifiedby.com/search?q=Self-adhesive waterproofing membrane&type=companies&a=0,https://www.google.co.uk/search?q=Self-adhesive waterproofing membrane companies&type=companies&a=0
Foundation waterproofing sheet primer,Foundation waterproofing sheet primer,http://quartzproject.org/p/CP113,CP113,https://www.specifiedby.com/search?q=Foundation waterproofing sheet primer,https://www.specifiedby.com/search?q=Foundation waterproofing sheet primer&type=companies&a=0,https://www.google.co.uk/search?q=Foundation waterproofing sheet primer companies&type=companies&a=0
Foundation waterproofing sheet primer,Water-Based Waterproofing Primer,http://quartzproject.org/p/CP113,CP113,https://www.specifiedby.com/search?q=Water-Based Waterproofing Primer,https://www.specifiedby.com/search?q=Water-Based Waterproofing Primer&type=companies&a=0,https://www.google.co.uk/search?q=Water-Based Waterproofing Primer companies&type=companies&a=0
Foundation waterproofing sheet primer,Emulsion Primer for Self-Adhesive Membranes,http://quartzproject.org/p/CP113,CP113,https://www.specifiedby.com/search?q=Emulsion Primer for Self-Adhesive Membranes,https://www.specifiedby.com/search?q=Emulsion Primer for Self-Adhesive Membranes&type=companies&a=0,https://www.google.co.uk/search?q=Emulsion Primer for Self-Adhesive Membranes companies&type=companies&a=0
Foundation dampproofing,Foundation dampproofing,http://quartzproject.org/p/CP114,CP114,https://www.specifiedby.com/search?q=Foundation dampproofing,https://www.specifiedby.com/search?q=Foundation dampproofing&type=companies&a=0,https://www.google.co.uk/search?q=Foundation dampproofing companies&type=companies&a=0
Granular Fill,Granular Fill,http://quartzproject.org/p/CP115,CP115,https://www.specifiedby.com/search?q=Granular Fill,https://www.specifiedby.com/search?q=Granular Fill&type=companies&a=0,https://www.google.co.uk/search?q=Granular Fill companies&type=companies&a=0
Plywood,Plywood,http://quartzproject.org/p/CP116,CP116,https://www.specifiedby.com/search?q=Plywood,https://www.specifiedby.com/search?q=Plywood&type=companies&a=0,https://www.google.co.uk/search?q=Plywood companies&type=companies&a=0
Particleboard,Particleboard,http://quartzproject.org/p/CP117,CP117,https://www.specifiedby.com/search?q=Particleboard,https://www.specifiedby.com/search?q=Particleboard&type=companies&a=0,https://www.google.co.uk/search?q=Particleboard companies&type=companies&a=0
Wood Framing,Wood Framing,http://quartzproject.org/p/CP118,CP118,https://www.specifiedby.com/search?q=Wood Framing,https://www.specifiedby.com/search?q=Wood Framing&type=companies&a=0,https://www.google.co.uk/search?q=Wood Framing companies&type=companies&a=0
Wood Framing,Dimensional Lumber,http://quartzproject.org/p/CP118,CP118,https://www.specifiedby.com/search?q=Dimensional Lumber,https://www.specifiedby.com/search?q=Dimensional Lumber&type=companies&a=0,https://www.google.co.uk/search?q=Dimensional Lumber companies&type=companies&a=0
Fire-retardant Treated/PT Lumber,Fire-retardant Treated/PT Lumber,http://quartzproject.org/p/CP119,CP119,https://www.specifiedby.com/search?q=Fire-retardant Treated/PT Lumber,https://www.specifiedby.com/search?q=Fire-retardant Treated/PT Lumber&type=companies&a=0,https://www.google.co.uk/search?q=Fire-retardant Treated/PT Lumber companies&type=companies&a=0
Fire-retardant Treated/PT Lumber,FRT,http://quartzproject.org/p/CP119,CP119,https://www.specifiedby.com/search?q=FRT,https://www.specifiedby.com/search?q=FRT&type=companies&a=0,https://www.google.co.uk/search?q=FRT companies&type=companies&a=0
EPS Insulation,EPS Insulation,http://quartzproject.org/p/CP120,CP120,https://www.specifiedby.com/search?q=EPS Insulation,https://www.specifiedby.com/search?q=EPS Insulation&type=companies&a=0,https://www.google.co.uk/search?q=EPS Insulation companies&type=companies&a=0
EPS Insulation,EPS,http://quartzproject.org/p/CP120,CP120,https://www.specifiedby.com/search?q=EPS,https://www.specifiedby.com/search?q=EPS&type=companies&a=0,https://www.google.co.uk/search?q=EPS companies&type=companies&a=0
Spray Foam Insulation,Spray Foam Insulation,http://quartzproject.org/p/CP121,CP121,https://www.specifiedby.com/search?q=Spray Foam Insulation,https://www.specifiedby.com/search?q=Spray Foam Insulation&type=companies&a=0,https://www.google.co.uk/search?q=Spray Foam Insulation companies&type=companies&a=0
Spray Foam Insulation,Closed cell polyurethane insulation,http://quartzproject.org/p/CP121,CP121,https://www.specifiedby.com/search?q=Closed cell polyurethane insulation,https://www.specifiedby.com/search?q=Closed cell polyurethane insulation&type=companies&a=0,https://www.google.co.uk/search?q=Closed cell polyurethane insulation companies&type=companies&a=0
Spray Foam Insulation,SPF,http://quartzproject.org/p/CP121,CP121,https://www.specifiedby.com/search?q=SPF,https://www.specifiedby.com/search?q=SPF&type=companies&a=0,https://www.google.co.uk/search?q=SPF companies&type=companies&a=0
Spray Foam Insulation,Polyurethane spray foam insulation,http://quartzproject.org/p/CP121,CP121,https://www.specifiedby.com/search?q=Polyurethane spray foam insulation,https://www.specifiedby.com/search?q=Polyurethane spray foam insulation&type=companies&a=0,https://www.google.co.uk/search?q=Polyurethane spray foam insulation companies&type=companies&a=0
Mineral Fiber Batt Insulation,Mineral Fiber Batt Insulation,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=Mineral Fiber Batt Insulation,https://www.specifiedby.com/search?q=Mineral Fiber Batt Insulation&type=companies&a=0,https://www.google.co.uk/search?q=Mineral Fiber Batt Insulation companies&type=companies&a=0
Mineral Fiber Batt Insulation,mineral wool,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=mineral wool,https://www.specifiedby.com/search?q=mineral wool&type=companies&a=0,https://www.google.co.uk/search?q=mineral wool companies&type=companies&a=0
Mineral Fiber Batt Insulation,stone wool,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=stone wool,https://www.specifiedby.com/search?q=stone wool&type=companies&a=0,https://www.google.co.uk/search?q=stone wool companies&type=companies&a=0
Mineral Fiber Batt Insulation,rock wool,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=rock wool,https://www.specifiedby.com/search?q=rock wool&type=companies&a=0,https://www.google.co.uk/search?q=rock wool companies&type=companies&a=0
Mineral Fiber Batt Insulation,slag wool,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=slag wool,https://www.specifiedby.com/search?q=slag wool&type=companies&a=0,https://www.google.co.uk/search?q=slag wool companies&type=companies&a=0
Mineral Fiber Batt Insulation,glass wool,http://quartzproject.org/p/CP123,CP123,https://www.specifiedby.com/search?q=glass wool,https://www.specifiedby.com/search?q=glass wool&type=companies&a=0,https://www.google.co.uk/search?q=glass wool companies&type=companies&a=0
Thermoplastic polyolefin (TPO) membrane roofing,Thermoplastic polyolefin (TPO) membrane roofing,http://quartzproject.org/p/CP124,CP124,https://www.specifiedby.com/search?q=Thermoplastic polyolefin (TPO) membrane roofing,https://www.specifiedby.com/search?q=Thermoplastic polyolefin (TPO) membrane roofing&type=companies&a=0,https://www.google.co.uk/search?q=Thermoplastic polyolefin (TPO) membrane roofing companies&type=companies&a=0
Thermoplastic polyolefin (TPO) membrane roofing,TPO membrane roofing,http://quartzproject.org/p/CP124,CP124,https://www.specifiedby.com/search?q=TPO membrane roofing,https://www.specifiedby.com/search?q=TPO membrane roofing&type=companies&a=0,https://www.google.co.uk/search?q=TPO membrane roofing companies&type=companies&a=0
Polyvinyl chloride membrane roofing,Polyvinyl chloride membrane roofing,http://quartzproject.org/p/CP125,CP125,https://www.specifiedby.com/search?q=Polyvinyl chloride membrane roofing,https://www.specifiedby.com/search?q=Polyvinyl chloride membrane roofing&type=companies&a=0,https://www.google.co.uk/search?q=Polyvinyl chloride membrane roofing companies&type=companies&a=0
Polyvinyl chloride membrane roofing,PVC membrane roofing,http://quartzproject.org/p/CP125,CP125,https://www.specifiedby.com/search?q=PVC membrane roofing,https://www.specifiedby.com/search?q=PVC membrane roofing&type=companies&a=0,https://www.google.co.uk/search?q=PVC membrane roofing companies&type=companies&a=0
Membrane roofing adhesives,Membrane roofing adhesives,http://quartzproject.org/p/CP126,CP126,https://www.specifiedby.com/search?q=Membrane roofing adhesives,https://www.specifiedby.com/search?q=Membrane roofing adhesives&type=companies&a=0,https://www.google.co.uk/search?q=Membrane roofing adhesives companies&type=companies&a=0
Steel Door,Steel Door,http://quartzproject.org/p/CP127,CP127,https://www.specifiedby.com/search?q=Steel Door,https://www.specifiedby.com/search?q=Steel Door&type=companies&a=0,https://www.google.co.uk/search?q=Steel Door companies&type=companies&a=0
Medium Density Fiberboard (MDF),Medium Density Fiberboard (MDF),http://quartzproject.org/p/CP128,CP128,https://www.specifiedby.com/search?q=Medium Density Fiberboard (MDF),https://www.specifiedby.com/search?q=Medium Density Fiberboard (MDF)&type=companies&a=0,https://www.google.co.uk/search?q=Medium Density Fiberboard (MDF) companies&type=companies&a=0
Medium Density Fiberboard (MDF),MDF,http://quartzproject.org/p/CP128,CP128,https://www.specifiedby.com/search?q=MDF,https://www.specifiedby.com/search?q=MDF&type=companies&a=0,https://www.google.co.uk/search?q=MDF companies&type=companies&a=0
Acoustical Ceiling Panels (FGD Gypsum),Acoustical Ceiling Panels (FGD Gypsum),http://quartzproject.org/p/CP129,CP129,https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (FGD Gypsum),https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (FGD Gypsum)&type=companies&a=0,https://www.google.co.uk/search?q=Acoustical Ceiling Panels (FGD Gypsum) companies&type=companies&a=0
Acoustical Ceiling Panels (Natural Gypsum),Acoustical Ceiling Panels (Natural Gypsum),http://quartzproject.org/p/CP130,CP130,https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (Natural Gypsum),https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (Natural Gypsum)&type=companies&a=0,https://www.google.co.uk/search?q=Acoustical Ceiling Panels (Natural Gypsum) companies&type=companies&a=0
Acoustical Ceiling Panels (mineral fiber),Acoustical Ceiling Panels (mineral fiber),http://quartzproject.org/p/CP131,CP131,https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (mineral fiber),https://www.specifiedby.com/search?q=Acoustical Ceiling Panels (mineral fiber)&type=companies&a=0,https://www.google.co.uk/search?q=Acoustical Ceiling Panels (mineral fiber) companies&type=companies&a=0
PVDF-Coated Aluminum Curtainwall Extrusion,PVDF-Coated Aluminum Curtainwall Extrusion,http://quartzproject.org/p/CP132,CP132,https://www.specifiedby.com/search?q=PVDF-Coated Aluminum Curtainwall Extrusion,https://www.specifiedby.com/search?q=PVDF-Coated Aluminum Curtainwall Extrusion&type=companies&a=0,https://www.google.co.uk/search?q=PVDF-Coated Aluminum Curtainwall Extrusion companies&type=companies&a=0
PVDF-Coated Aluminum Curtainwall Extrusion,Curtainwall Aluminum,http://quartzproject.org/p/CP132,CP132,https://www.specifiedby.com/search?q=Curtainwall Aluminum,https://www.specifiedby.com/search?q=Curtainwall Aluminum&type=companies&a=0,https://www.google.co.uk/search?q=Curtainwall Aluminum companies&type=companies&a=0
High performance coating (epoxy),High performance coating (epoxy),http://quartzproject.org/p/CP133,CP133,https://www.specifiedby.com/search?q=High performance coating (epoxy),https://www.specifiedby.com/search?q=High performance coating (epoxy)&type=companies&a=0,https://www.google.co.uk/search?q=High performance coating (epoxy) companies&type=companies&a=0
High Performance Coatings (Acrylic),High Performance Coatings (Acrylic),http://quartzproject.org/p/CP134,CP134,https://www.specifiedby.com/search?q=High Performance Coatings (Acrylic),https://www.specifiedby.com/search?q=High Performance Coatings (Acrylic)&type=companies&a=0,https://www.google.co.uk/search?q=High Performance Coatings (Acrylic) companies&type=companies&a=0
High Performance Coatings (Acrylic),High performance water-borne acrylic coating,http://quartzproject.org/p/CP134,CP134,https://www.specifiedby.com/search?q=High performance water-borne acrylic coating,https://www.specifiedby.com/search?q=High performance water-borne acrylic coating&type=companies&a=0,https://www.google.co.uk/search?q=High performance water-borne acrylic coating companies&type=companies&a=0
High Performance Coatings (Acrylic),latex acrylic high performance coatings,http://quartzproject.org/p/CP134,CP134,https://www.specifiedby.com/search?q=latex acrylic high performance coatings,https://www.specifiedby.com/search?q=latex acrylic high performance coatings&type=companies&a=0,https://www.google.co.uk/search?q=latex acrylic high performance coatings companies&type=companies&a=0
Acrylic Flooring Adhesive,Acrylic Flooring Adhesive,http://quartzproject.org/p/CP146,CP146,https://www.specifiedby.com/search?q=Acrylic Flooring Adhesive,https://www.specifiedby.com/search?q=Acrylic Flooring Adhesive&type=companies&a=0,https://www.google.co.uk/search?q=Acrylic Flooring Adhesive companies&type=companies&a=0
Epoxy flooring adhesive,Epoxy flooring adhesive,http://quartzproject.org/p/CP147,CP147,https://www.specifiedby.com/search?q=Epoxy flooring adhesive,https://www.specifiedby.com/search?q=Epoxy flooring adhesive&type=companies&a=0,https://www.google.co.uk/search?q=Epoxy flooring adhesive companies&type=companies&a=0
Epoxy flooring adhesive,Two-part epoxy flooring adhesive,http://quartzproject.org/p/CP147,CP147,https://www.specifiedby.com/search?q=Two-part epoxy flooring adhesive,https://www.specifiedby.com/search?q=Two-part epoxy flooring adhesive&type=companies&a=0,https://www.google.co.uk/search?q=Two-part epoxy flooring adhesive companies&type=companies&a=0
Polyurethane flooring adhesive,Polyurethane flooring adhesive,http://quartzproject.org/p/CP148,CP148,https://www.specifiedby.com/search?q=Polyurethane flooring adhesive,https://www.specifiedby.com/search?q=Polyurethane flooring adhesive&type=companies&a=0,https://www.google.co.uk/search?q=Polyurethane flooring adhesive companies&type=companies&a=0
